ig_name,total_vedios,total_likes,avg_like,max_like,min_like,total_comments,avg_coments,max_comments,min_comments,total_tags,avg_tags,max_tags,_min_tags,total_views,avg_views,max_views,min_views,total_duration,max_duration,avg_duration,min_duration
daisy.chiu,56,31447.0,561.5535714285714,1475.0,2.0,814,14.535714285714286,49,0,0,0.0,0,0,1277189.0,22806.946428571428,63319.0,141.0,2963.16,175.94,52.91357142857142,4.0
daiying0,73,525123.0,7396.098591549296,55884.0,36.0,7972,109.20547945205479,263,0,62,0.8493150684931506,8,0,11492165.0,157426.91780821918,870678.0,861.0,2244.0299999999997,162.28,30.740136986301366,3.74
dannybeeech,60,286176.0,4769.6,93049.0,272.0,8637,143.95,1036,1,2,0.03333333333333333,1,0,15524110.0,258735.16666666666,3015990.0,19579.0,61286.05,3709.03,1021.4341666666667,18.23
davio_magic,249,2284112.0,9597.10924369748,321852.0,28.0,16560,66.50602409638554,1291,0,286,1.1485943775100402,6,0,220476949.0,885449.59437751,18733004.0,1103.0,3490.22,73.97,14.016947791164657,4.04
da_chien_huang,26,2445509.0,94058.03846153847,583572.0,9791.0,17910,688.8461538461538,4279,37,8,0.3076923076923077,2,0,34503809.0,1327069.576923077,4671844.0,465171.0,2021.99,138.57,77.76884615384616,9.09
de.jun_666,11,439807.0,39982.454545454544,80421.0,15540.0,1194,108.54545454545455,299,31,0,0.0,0,0,13341363.0,1212851.1818181819,1785780.0,589626.0,515.26,82.3,46.841818181818184,4.0
dinter_1126,6,21942.0,3657.0,7985.0,1589.0,121,20.166666666666668,52,4,0,0.0,0,0,1706149.0,284358.1666666667,407301.0,198714.0,549.3000000000001,168.81,91.55000000000001,58.42
donehannah,174,774116.0,4448.942528735633,82132.0,187.0,7005,40.258620689655174,307,2,284,1.632183908045977,12,0,27845541.0,160031.8448275862,1372247.0,11001.0,14597.989999999998,1966.76,83.89649425287355,5.02
dr.acne_scar_queen,639,521818.0,816.6165884194053,14974.0,45.0,6286,9.837245696400625,281,0,6,0.009389671361502348,2,0,74760413.0,116995.95148669796,1492290.0,19190.0,28621.32,175.24,44.79079812206573,8.15
eatzzz7,74,512774.0,6929.378378378378,29836.0,1844.0,6010,81.21621621621621,659,15,78,1.054054054054054,7,0,38309408.0,517694.7027027027,1843530.0,121798.0,4938.959999999999,135.74,66.74270270270269,5.7
egg_things,16,171128.0,10695.5,65591.0,71.0,1549,96.8125,847,1,0,0.0,0,0,3388500.0,211781.25,736563.0,1801.0,946.5899999999999,180.91,59.161874999999995,5.03
elephant_gogo,122,659444.0,5636.273504273504,125314.0,7.0,11069,90.72950819672131,1597,0,198,1.6229508196721312,20,0,30257623.0,248013.30327868852,1397908.0,1646.0,15645.500000000002,3965.27,128.24180327868854,7.73
emmy_on_earth,51,11274.0,221.05882352941177,6442.0,3.0,739,14.490196078431373,619,0,0,0.0,0,0,537016.0,10529.725490196079,280322.0,948.0,1732.59,102.04,33.97235294117647,5.0
energydessert2019,145,615257.0,4243.151724137931,36623.0,290.0,6030,41.58620689655172,293,3,134,0.9241379310344827,5,0,28234946.0,194723.76551724138,1687316.0,24136.0,11221.27,2517.43,77.38806896551725,13.26
ethan_kuan_kuan,312,1509185.0,4837.13141025641,196740.0,142.0,11077,35.50320512820513,5852,0,238,0.7628205128205128,6,0,57648952.0,184772.28205128206,3271325.0,19732.0,28203.33,3023.13,90.39528846153847,12.21
flashwolves2013,39,231600.0,5938.461538461538,31541.0,985.0,1674,42.92307692307692,214,2,6,0.15384615384615385,4,0,5820584.0,149245.7435897436,808858.0,28548.0,1178.76,89.72,30.224615384615383,6.08
fumeancat,97,1624368.0,16746.061855670105,492669.0,2403.0,5464,56.329896907216494,802,10,9,0.09278350515463918,3,0,28721559.0,296098.54639175255,6294815.0,56688.0,2085.12,66.54,21.496082474226803,1.27
gary.0917,196,1566160.0,7990.6122448979595,45646.0,1292.0,4393,22.413265306122447,368,0,0,0.0,0,0,33944675.0,173187.1173469388,491511.0,43354.0,8819.16,97.26,44.995714285714286,4.0
getwie__,56,377680.0,6744.285714285715,62499.0,304.0,3518,62.82142857142857,699,2,38,0.6785714285714286,4,0,13199659.0,235708.19642857142,2363363.0,30480.0,2892.26,496.71,51.6475,10.3
ginachiki,61,202823.0,6993.896551724138,19722.0,2331.0,8263,135.45901639344262,1376,36,16,0.26229508196721313,4,0,23691194.0,388380.2295081967,2475994.0,95261.0,5402.400000000001,375.83,88.56393442622952,2.32
goodalicia,27,323505.0,11981.666666666666,42224.0,2821.0,2904,107.55555555555556,716,8,12,0.4444444444444444,4,0,25754388.0,953866.2222222222,1834296.0,310231.0,1861.4299999999998,127.22,68.94185185185185,16.11
goris.sky,2,2642.0,1321.0,1504.0,1138.0,96,48.0,56,40,1,0.5,1,0,154592.0,77296.0,77465.0,77127.0,42.87,29.84,21.435,13.03
gu_yuze,57,1356727.0,23802.22807017544,455362.0,680.0,6249,109.63157894736842,976,1,40,0.7017543859649122,2,0,33011734.0,579153.2280701754,7368830.0,52898.0,2642.4900000000002,116.53,46.35947368421053,11.24
hahatai_official,309,3079221.0,9997.47077922078,414708.0,311.0,16495,53.38187702265372,1939,0,703,2.2750809061488675,15,0,105133151.0,340236.7346278317,9097803.0,39644.0,23759.949999999997,180.03,76.8930420711974,4.4
hailey_jane,11,466135.0,42375.90909090909,163413.0,6592.0,1701,154.63636363636363,393,31,0,0.0,0,0,9338852.0,848986.5454545454,2170853.0,425114.0,358.86,61.55,32.623636363636365,4.6
hanhanpovideo,31,1582401.0,51045.1935483871,280506.0,7419.0,15071,486.16129032258067,1219,92,14,0.45161290322580644,3,0,33458395.0,1079303.064516129,3171018.0,555509.0,6011.889999999999,711.77,193.93193548387094,17.37
helloiamhook,14,616997.0,44071.21428571428,258624.0,10361.0,2725,194.64285714285714,1023,78,4,0.2857142857142857,2,0,14137382.0,1009813.0,5499486.0,422294.0,1363.17,145.97,97.36928571428572,17.37
hithisisachi,85,49956.0,587.7176470588236,4979.0,63.0,2643,31.094117647058823,421,0,3,0.03529411764705882,1,0,3261719.0,38373.16470588235,225002.0,9662.0,5304.54,129.37,62.40635294117647,8.24
hooleefun,340,2120451.0,6406.196374622356,123264.0,457.0,12791,37.620588235294115,500,0,233,0.6852941176470588,2,0,141975420.0,417574.76470588235,2913694.0,76693.0,12749.449999999999,53.97,37.49838235294117,21.94
howhowhasfriends,96,1265861.0,13186.052083333334,127496.0,30.0,14728,153.41666666666666,7257,1,40,0.4166666666666667,3,0,30255575.0,315162.2395833333,2480340.0,793.0,6435.41,166.1,67.03552083333334,8.77
hsin0126,39,1313329.0,33675.10256410256,765624.0,1840.0,13392,343.38461538461536,7210,4,51,1.3076923076923077,7,0,34364226.0,881134.0,9035541.0,192070.0,1563.12,89.37,40.08,7.37
huangbrotherss,76,1757956.0,27468.0625,112513.0,19.0,18844,247.94736842105263,1180,0,269,3.539473684210526,13,0,47413611.0,623863.302631579,3346991.0,442.0,3975.4900000000002,90.03,52.30907894736843,8.13
huzihuang1989,11,21400.0,1945.4545454545455,4086.0,575.0,261,23.727272727272727,64,7,1,0.09090909090909091,1,0,976958.0,88814.36363636363,147621.0,30314.0,1018.07,158.87,92.55181818181819,48.11
iam_3636,58,925373.0,15954.706896551725,46994.0,3026.0,7865,135.60344827586206,314,33,88,1.5172413793103448,3,1,40155416.0,692334.7586206896,2405490.0,87551.0,4153.37,136.67,71.60982758620689,10.01
imseriou,136,415140.0,3673.8053097345132,25678.0,58.0,5175,38.0514705882353,387,0,52,0.38235294117647056,15,0,17437684.0,128218.26470588235,946110.0,2511.0,8256.48,179.97,60.70941176470588,15.28
inesinesw,110,474995.0,4318.136363636364,7288.0,1736.0,3234,29.4,79,6,90,0.8181818181818182,13,0,4174118.0,37946.527272727275,106960.0,11969.0,4196.759999999999,133.57,38.15236363636363,7.03
ironbullim,21,0.0,,,,397,18.904761904761905,117,1,35,1.6666666666666667,4,0,1808290.0,86109.04761904762,268708.0,31768.0,1026.13,96.75,48.86333333333334,13.57
itsberrym,31,69637.0,2246.3548387096776,6705.0,590.0,302,9.741935483870968,32,1,5,0.16129032258064516,2,0,3779935.0,121933.3870967742,243284.0,62478.0,5610.430000000001,4062.52,180.98161290322585,15.25
jam_cutepig,50,436120.0,8722.4,126507.0,489.0,2275,45.5,437,1,9,0.18,2,0,20252011.0,405040.22,3590233.0,72005.0,2596.01,90.0,51.9202,3.3
jam_steak,77,1244897.0,17290.23611111111,93825.0,1614.0,6643,86.27272727272727,510,2,23,0.2987012987012987,3,0,54708124.0,710495.1168831169,4605587.0,47650.0,4799.57,133.07,62.33207792207792,8.01
japanuts,297,606872.0,2050.2432432432433,20161.0,0.0,46051,155.05387205387206,3435,0,35,0.11784511784511785,5,0,68419711.0,230369.3973063973,1902372.0,644.0,10936.35,114.24,36.82272727272727,5.85
jasondchen,151,2392929.0,64673.75675675676,578441.0,396.0,93206,617.2582781456954,7782,6,114,0.7549668874172185,3,0,319718611.0,2117341.794701987,26420152.0,39806.0,7575.49,157.73,50.168807947019864,5.2
jaychang0127,145,1921634.0,13252.64827586207,281053.0,52.0,12023,82.91724137931034,1525,0,36,0.2482758620689655,4,0,43425223.0,299484.29655172414,2255171.0,2655.0,10432.77,181.23,71.95013793103449,7.83
jbao_5000,34,3144096.0,92473.41176470589,1579324.0,7583.0,9189,270.2647058823529,2108,28,40,1.1764705882352942,7,0,53781096.0,1581796.9411764706,9692800.0,238873.0,1962.49,336.0,57.72029411764706,6.69
jengsu,5,28089.0,5617.8,7313.0,3783.0,91,18.2,29,9,5,1.0,3,0,866987.0,173397.4,280256.0,117347.0,492.96999999999997,129.03,98.594,24.57
joemanweng,177,2127225.0,12018.22033898305,123394.0,754.0,13407,75.7457627118644,664,4,55,0.3107344632768362,3,0,138434297.0,782114.6723163842,4649687.0,168603.0,9354.56,338.45,52.85062146892655,9.77
juliamisakii,103,83208.0,6934.0,24663.0,1162.0,4053,39.349514563106794,360,4,157,1.5242718446601942,6,0,16103612.0,156345.74757281554,916432.0,29260.0,4173.37,71.13,40.51815533980582,3.44
k3okii,56,1160079.0,20715.696428571428,117994.0,1634.0,5139,91.76785714285714,448,4,87,1.5535714285714286,6,0,28390163.0,506967.1964285714,1880147.0,78693.0,2785.11,163.97,49.73410714285715,13.87
kai_makeup_,150,325876.0,2172.5066666666667,15259.0,246.0,5947,39.64666666666667,471,0,10,0.06666666666666667,3,0,24430262.0,162868.41333333333,1293374.0,33265.0,11772.510000000002,176.9,78.48340000000002,6.8
kaoru_0409,74,622567.0,8413.067567567568,64546.0,1343.0,7085,95.74324324324324,1334,0,7,0.0945945945945946,1,0,27852157.0,376380.5,1588155.0,65673.0,4076.21,86.27,55.08391891891892,7.63
kart_wang,143,1141864.0,8041.295774647887,131325.0,447.0,15434,107.93006993006993,1898,3,39,0.2727272727272727,3,0,40656962.0,284314.4195804196,2047938.0,33880.0,16291.87,3840.13,113.92916083916084,5.5
kellyshen40,156,208478.0,1336.3974358974358,44735.0,22.0,1726,11.064102564102564,215,0,55,0.3525641025641026,3,0,10900941.0,69877.82692307692,1080130.0,1283.0,12119.72,2267.89,77.69051282051282,4.0
khshu_,78,1042445.0,13364.679487179486,99570.0,1648.0,5707,73.16666666666667,364,12,58,0.7435897435897436,5,0,43342777.0,555676.6282051282,2511579.0,89233.0,3561.49,115.83,45.6601282051282,6.87
ladyflavor,155,2615722.0,16875.62580645161,69327.0,2717.0,6418,41.406451612903226,441,1,15,0.0967741935483871,3,0,45556817.0,293914.94838709675,923927.0,45617.0,7343.139999999999,105.1,47.375096774193544,12.51
ladyflavor_cui,342,11096576.0,32446.128654970762,88405.0,14712.0,43370,126.81286549707602,851,27,3,0.008771929824561403,2,0,234183683.0,684747.6111111111,2087601.0,99904.0,21290.940000000002,180.04,62.254210526315795,18.1
ladyflavor_nowpo,168,5090655.0,30301.51785714286,73354.0,8369.0,85068,506.35714285714283,24869,15,183,1.0892857142857142,3,0,136366249.0,811703.8630952381,1642179.0,70730.0,19275.9,232.86,114.73750000000001,28.87
lamashania,65,313791.0,4827.553846153846,53025.0,28.0,1053,16.2,92,0,3,0.046153846153846156,3,0,10864875.0,167151.92307692306,1159113.0,34340.0,3944.1099999999997,172.34,60.67861538461538,21.24
lan0716,22,687753.0,31261.5,70761.0,7659.0,4974,226.0909090909091,940,88,3,0.13636363636363635,1,0,22604862.0,1027493.7272727273,2379143.0,214249.0,829.27,84.18,37.69409090909091,7.2
lebaby0v0,15,144061.0,18007.625,63293.0,5758.0,1348,89.86666666666666,250,20,1,0.06666666666666667,1,0,11742029.0,782801.9333333333,6788808.0,172873.0,440.84,91.27,29.389333333333333,4.32
lessonsfrommovies,9,17704.0,1967.111111111111,7350.0,556.0,59,6.555555555555555,35,0,1,0.1111111111111111,1,0,1708245.0,189805.0,433354.0,99608.0,518.19,90.6,57.576666666666675,23.82
liketaitai,67,365117.0,5449.507462686567,34033.0,925.0,2794,41.701492537313435,205,4,24,0.3582089552238806,2,0,33678354.0,502662.0,3437846.0,76348.0,3220.18,93.3,48.06238805970149,11.93
lilyflute,196,686131.0,3500.668367346939,106011.0,321.0,10339,52.75,702,10,41,0.20918367346938777,5,0,19985661.0,101967.65816326531,1931741.0,17307.0,11895.27,2612.52,60.69015306122449,5.73
linda831212,156,703958.0,7110.686868686868,27506.0,1.0,10448,66.97435897435898,361,0,172,1.1025641025641026,7,0,54289940.0,348012.4358974359,3055736.0,104.0,8144.640000000001,234.37,52.20923076923078,5.5
lingin1209,106,1226400.0,11569.811320754718,165383.0,5.0,8507,80.25471698113208,704,0,129,1.2169811320754718,15,0,74221973.0,700207.2924528302,7194445.0,1532.0,6189.22,371.87,58.388867924528306,8.97
linzin.yt,9,24019.0,2668.777777777778,14201.0,492.0,326,36.22222222222222,163,6,3,0.3333333333333333,3,0,561023.0,62335.88888888889,224435.0,26686.0,516.9300000000001,243.3,57.436666666666675,8.67
lobo_is_good,4,12775.0,3193.75,4813.0,1870.0,227,56.75,81,25,0,0.0,0,0,537223.0,134305.75,181356.0,82570.0,243.61999999999998,211.35,60.904999999999994,9.57
logandbeck,14,17605.0,1600.4545454545455,4925.0,169.0,160,11.428571428571429,36,0,3,0.21428571428571427,1,0,824831.0,58916.5,210156.0,14506.0,1037.4,128.15,74.10000000000001,46.25
loserzun,10,367282.0,36728.2,81197.0,11106.0,1242,124.2,316,43,0,0.0,0,0,6951218.0,695121.8,1413453.0,133431.0,747.04,90.93,74.704,46.65
lovemiihuang,134,277606.0,4957.25,16950.0,756.0,16553,123.52985074626865,3106,4,116,0.8656716417910447,9,0,33089178.0,246934.16417910447,1328253.0,59890.0,7247.779999999999,173.24,54.08791044776118,2.23
manatee0701,4,22763.0,5690.75,7747.0,3404.0,202,50.5,64,37,2,0.5,2,0,715287.0,178821.75,233706.0,98117.0,294.51,107.69,73.6275,50.03
maomaotv,32,92190.0,2880.9375,12241.0,333.0,5979,186.84375,3153,0,12,0.375,2,0,6555289.0,204852.78125,2009943.0,60330.0,1072.04,87.35,33.50125,5.87
