ig_name,total_vedios,total_likes,avg_like,max_like,min_like,total_comments,avg_coments,max_comments,min_comments,total_tags,avg_tags,max_tags,_min_tags,total_views,avg_views,max_views,min_views,total_duration,max_duration,avg_duration,min_duration
martinispig,108,534581.0,4949.824074074074,107105.0,3.0,4450,41.2037037037037,847,0,8,0.07407407407407407,2,0,25706798.0,238025.90740740742,2902462.0,857.0,5011.21,93.97,46.40009259259259,10.17
maygobla,65,526423.0,8098.815384615385,40482.0,1903.0,5324,81.9076923076923,957,2,12,0.18461538461538463,3,0,36758150.0,565510.0,1928984.0,194051.0,2999.5199999999995,86.23,46.14646153846153,11.67
mayukichou,538,1026718.0,1908.3977695167287,50627.0,206.0,23812,44.260223048327134,890,0,92,0.17100371747211895,3,0,88030025.0,163624.58178438662,4263774.0,26556.0,17030.86,141.04,31.655873605947956,1.27
mengj215,43,406973.0,9464.488372093023,45504.0,1744.0,3374,78.46511627906976,135,15,7,0.16279069767441862,2,0,12699843.0,295345.18604651163,1913773.0,80604.0,1942.76,135.07,45.180465116279066,9.57
mensgametw,114,35329.0,309.9035087719298,3998.0,25.0,1507,13.219298245614034,716,0,24,0.21052631578947367,3,0,2679902.0,23507.912280701756,164834.0,8391.0,7810.850000000001,197.7,68.51622807017544,9.7
miao11255,125,584540.0,4676.32,34440.0,20.0,2540,20.32,163,0,41,0.328,6,0,19063297.0,152506.376,2153481.0,1242.0,6121.160000000001,89.9,48.969280000000005,3.32
milasky_love,39,442787.0,11353.51282051282,54038.0,506.0,1799,46.12820512820513,169,0,1,0.02564102564102564,1,0,16006370.0,410419.74358974356,1461975.0,56377.0,1035.02,57.17,26.538974358974357,9.98
minikiki_0529,66,460751.0,7553.295081967213,81028.0,1060.0,4847,73.43939393939394,732,9,15,0.22727272727272727,2,0,28282428.0,428521.63636363635,2871369.0,78539.0,4124.83,178.83,62.497424242424245,7.62
mochi_dad,66,657995.0,9969.621212121212,59377.0,287.0,4240,64.24242424242425,1227,0,3,0.045454545454545456,1,0,17163704.0,260056.12121212122,1112687.0,34833.0,923.98,81.87,13.99969696969697,3.48
momanddad_band,58,115066.0,1983.896551724138,34148.0,67.0,2595,44.741379310344826,955,0,36,0.6206896551724138,3,0,7026083.0,121139.36206896552,2812947.0,12206.0,3871.83,140.85,66.75568965517242,8.57
mr.joehobby,81,79784.0,984.9876543209876,8699.0,123.0,938,11.580246913580247,246,0,14,0.1728395061728395,3,0,2979531.0,36784.333333333336,449829.0,6167.0,4581.4400000000005,172.5,56.560987654320996,6.18
muyao4,90,306058.0,3400.6444444444446,24627.0,430.0,1037,11.522222222222222,102,0,55,0.6111111111111112,5,0,12477820.0,138642.44444444444,505521.0,18036.0,4822.639999999999,81.6,53.584888888888884,23.36
mypink0911,90,88060.0,978.4444444444445,3331.0,196.0,2256,25.066666666666666,225,0,3,0.03333333333333333,1,0,8793525.0,97705.83333333333,1084987.0,23540.0,10189.11,305.5,113.21233333333333,10.57
nanaciaociao,160,1159993.0,7999.951724137931,106114.0,1218.0,8250,51.5625,302,9,192,1.2,20,0,72871287.0,455445.54375,2486844.0,95716.0,7792.969999999999,136.93,48.706062499999994,5.48
nana_aleng,40,147819.0,3695.475,55917.0,816.0,1430,35.75,168,13,4,0.1,2,0,2110896.0,52772.4,463649.0,12539.0,1403.2400000000002,133.07,35.081,4.37
neneko.n,62,1286409.0,20748.532258064515,161175.0,2848.0,10232,165.03225806451613,2614,20,38,0.6129032258064516,4,0,46510489.0,750169.1774193548,3699711.0,161553.0,1014.2900000000001,40.67,16.359516129032258,5.0
nickwang1988,60,463526.0,7725.433333333333,90450.0,375.0,2696,44.93333333333333,344,2,64,1.0666666666666667,6,0,22639981.0,377333.01666666666,3179227.0,60088.0,2889.98,127.97,48.166333333333334,4.18
ninggoose,43,111682.0,2597.2558139534885,16249.0,373.0,1361,31.651162790697676,133,6,12,0.27906976744186046,3,0,5107572.0,118780.74418604652,1007366.0,27550.0,1754.0900000000001,99.94,40.79279069767442,8.27
niniru621,81,208814.0,2577.9506172839506,6581.0,9.0,1382,17.061728395061728,80,0,33,0.4074074074074074,3,0,8029833.0,99133.74074074074,631460.0,745.0,3572.9,175.83,44.10987654320988,6.2
nowyouon,30,35036.0,1167.8666666666666,2676.0,254.0,510,17.0,66,0,87,2.9,9,0,1887759.0,62925.3,269374.0,20015.0,1501.1199999999997,139.43,50.03733333333332,9.01
oldwangwang,1,2717.0,2717.0,2717.0,2717.0,64,64.0,64,64,1,1.0,1,1,179376.0,179376.0,179376.0,179376.0,19.48,19.48,19.48,19.48
onionman__,46,427907.0,17116.28,129292.0,1447.0,3176,69.04347826086956,435,9,58,1.2608695652173914,9,0,18313207.0,398113.1956521739,5101491.0,90924.0,2652.19,117.7,57.65630434782609,3.35
pansci,288,2128685.0,7391.267361111111,81161.0,75.0,14693,51.017361111111114,368,0,0,0.0,0,0,42379082.0,147149.59027777778,1163619.0,12380.0,32737.030000000006,179.58,113.67024305555557,8.0
pattihuang,40,43053.0,1655.8846153846155,4358.0,474.0,1386,34.65,78,14,0,0.0,0,0,1553940.0,38848.5,98274.0,12702.0,1970.35,81.07,49.25875,9.68
peeta.gege,64,423923.0,6623.796875,54372.0,34.0,3536,55.25,676,0,75,1.171875,7,0,23568098.0,368251.53125,1943139.0,1600.0,3735.85,202.03,58.37265625,6.8
peri168,62,117784.0,1930.8852459016393,32463.0,56.0,4377,70.59677419354838,774,0,15,0.24193548387096775,2,0,8402564.0,135525.2258064516,1655750.0,3923.0,3192.1400000000003,117.45,51.48612903225807,5.04
peter825,31,212918.0,6868.322580645161,29506.0,1663.0,1783,57.516129032258064,211,5,16,0.5161290322580645,2,0,6260783.0,201960.74193548388,577428.0,75939.0,2044.7199999999998,227.13,65.95870967741935,6.0
peter_and_susan,246,442944.0,1800.5853658536585,42933.0,218.0,3361,13.66260162601626,333,0,178,0.7235772357723578,11,0,23642703.0,96108.5487804878,1241144.0,21152.0,15584.54,179.73,63.351788617886186,4.09
rayduenglish,68,1673834.0,24615.20588235294,248810.0,3437.0,6336,93.17647058823529,602,4,33,0.4852941176470588,3,0,67684020.0,995353.2352941176,10627279.0,232210.0,3035.7499999999995,86.13,44.64338235294117,11.29
riceandshine.co,98,5714895.0,58315.255102040814,316551.0,12906.0,14532,148.28571428571428,1015,14,3,0.030612244897959183,1,0,152480072.0,1555919.1020408163,17778322.0,266378.0,5011.9,90.47,51.141836734693875,10.35
rosalina.kitchen,95,211153.0,2222.6631578947367,16851.0,320.0,2828,29.768421052631577,251,4,0,0.0,0,0,18706145.0,196906.7894736842,1929361.0,39378.0,7006.96,90.03,73.75747368421052,19.73
ruruspiano,42,363121.0,8645.738095238095,75307.0,667.0,2926,69.66666666666667,252,14,0,0.0,0,0,14913424.0,355081.5238095238,6058886.0,60434.0,2067.87,90.03,49.235,17.6
ruwenwen,2,9543.0,4771.5,6902.0,2641.0,40,20.0,25,15,0,0.0,0,0,331526.0,165763.0,191562.0,139964.0,221.7,122.17,110.85,99.53
sandykaka_,149,1571188.0,10761.561643835616,233350.0,532.0,10162,68.20134228187919,827,2,10,0.06711409395973154,4,0,63794165.0,428148.7583892617,4395435.0,107270.0,10905.429999999998,180.03,73.1908053691275,10.7
sandymandy_official,62,538708.0,8688.838709677419,69164.0,1465.0,6463,104.24193548387096,165,40,8,0.12903225806451613,1,0,26328098.0,424646.7419354839,2156698.0,130138.0,1216.06,54.32,19.613870967741935,5.03
sanyuan_japan,97,1666774.0,17183.23711340206,146531.0,494.0,10752,110.84536082474227,1837,0,85,0.8762886597938144,6,0,50654401.0,522210.3195876289,3869074.0,53390.0,5545.69,91.67,57.1720618556701,9.2
shaogao,37,2815823.0,76103.32432432432,583479.0,876.0,4815,130.13513513513513,907,3,2,0.05405405405405406,1,0,46116390.0,1246388.9189189188,8720421.0,102181.0,1073.6999999999998,60.64,29.018918918918914,7.67
shasha77.daily,290,787262.0,2714.696551724138,28005.0,146.0,4495,15.5,323,0,13,0.04482758620689655,2,0,25216015.0,86951.77586206897,678302.0,9561.0,15071.880000000001,116.38,51.972,2.43
shirley_01_12,24,28935.0,1205.625,7447.0,98.0,517,21.541666666666668,64,2,34,1.4166666666666667,6,0,2053186.0,85549.41666666667,304120.0,25189.0,621.54,106.74,25.897499999999997,8.15
skauramomo,35,69234.0,2036.2941176470588,20350.0,586.0,723,20.65714285714286,71,6,9,0.2571428571428571,2,0,1665096.0,47574.171428571426,383967.0,17450.0,622.7,57.97,17.791428571428572,4.97
soybeanmilk_cat,19,387996.0,20420.842105263157,108275.0,6289.0,2575,135.52631578947367,595,38,0,0.0,0,0,6946369.0,365598.36842105264,1986263.0,72930.0,637.2099999999999,90.13,33.537368421052626,4.1
stanley_sportslife,166,992266.0,5977.506024096386,41378.0,419.0,2366,14.25301204819277,91,0,28,0.1686746987951807,4,0,23722434.0,142906.22891566265,679202.0,19905.0,3723.9800000000005,89.73,22.43361445783133,4.57
sundayright_dub,68,719702.0,11072.338461538462,81991.0,369.0,3871,56.9264705882353,289,0,13,0.19117647058823528,2,0,13950428.0,205153.35294117648,1390490.0,28633.0,2576.64,90.09,37.89176470588235,7.24
sunnie_cat0111,27,146838.0,6118.25,15329.0,1884.0,1666,61.7037037037037,150,31,37,1.3703703703703705,12,0,5346461.0,198017.07407407407,673770.0,30440.0,525.5899999999999,60.28,19.466296296296292,7.73
swhite523,40,44060.0,1101.5,6660.0,237.0,585,14.625,55,0,26,0.65,2,0,1938983.0,48474.575,96549.0,21897.0,2387.96,103.84,59.699,17.64
taiwanniu421,98,146801.0,1497.969387755102,51313.0,80.0,3275,33.41836734693877,910,0,14,0.14285714285714285,2,0,9188369.0,93758.86734693877,1752531.0,15625.0,51895.59999999999,7736.71,529.5469387755102,5.55
taiwan_bar,148,226304.0,1529.081081081081,24273.0,39.0,10914,73.74324324324324,4063,0,164,1.1081081081081081,3,0,5890090.0,39797.90540540541,595841.0,1869.0,8855.970000000001,90.02,59.837635135135145,13.35
teacherchiang,287,1958840.0,6849.090909090909,134441.0,107.0,18838,65.63763066202091,1400,0,118,0.41114982578397213,7,0,70814168.0,246739.2613240418,2712105.0,42840.0,34147.14,4741.64,118.9795818815331,4.32
tesscube,17,15563.0,915.4705882352941,2548.0,191.0,159,9.352941176470589,24,0,2,0.11764705882352941,2,0,549813.0,32341.941176470587,76036.0,19508.0,680.97,90.0,40.05705882352942,3.81
thechef_fred,58,160240.0,2762.7586206896553,21451.0,493.0,799,13.775862068965518,128,0,35,0.603448275862069,3,0,6559647.0,113097.36206896552,909879.0,29293.0,3510.05,152.53,60.518103448275866,6.32
thedodomen,196,2594180.0,13235.612244897959,62526.0,1016.0,20435,104.26020408163265,795,4,244,1.2448979591836735,8,0,135446741.0,691054.8010204082,2769099.0,81471.0,16031.949999999999,3150.2,81.79566326530612,8.79
thetiffanychen,185,9080745.0,49085.10810810811,581451.0,4390.0,40492,218.87567567567567,3450,9,158,0.8540540540540541,3,0,290361268.0,1569520.3675675676,9549439.0,318969.0,12968.73,130.43,70.10124324324325,12.1
thisgroupofpeople,170,505108.0,2971.2235294117645,34924.0,425.0,2989,17.58235294117647,161,0,14,0.08235294117647059,5,0,16344493.0,96144.07647058823,763300.0,11278.0,10401.93,812.4,61.187823529411766,5.07
three_muggles,111,547997.0,4936.90990990991,39572.0,139.0,7571,68.2072072072072,3259,1,157,1.4144144144144144,6,0,19723003.0,177684.71171171172,3534616.0,3567.0,9834.230000000003,2250.93,88.59666666666669,8.13
tiest0913,96,2428476.0,25296.625,451048.0,214.0,11657,121.42708333333333,1613,2,8,0.08333333333333333,1,0,42973694.0,447642.6458333333,5716463.0,8580.0,4602.23,179.93,47.93989583333333,8.58
tinana_master,57,205400.0,3603.5087719298244,37041.0,133.0,4354,76.3859649122807,468,0,73,1.280701754385965,9,0,6120109.0,107370.33333333333,522087.0,19812.0,4078.1900000000005,179.47,71.54719298245615,8.01
traveggo,83,925320.0,11148.43373493976,161862.0,8.0,6392,77.01204819277109,979,0,19,0.2289156626506024,2,0,40599957.0,489156.1084337349,4588690.0,2484.0,4837.65,135.63,58.28493975903614,13.33
tsaibrotherderboofan,124,584881.0,4716.782258064516,54576.0,564.0,4383,35.346774193548384,315,2,93,0.75,4,0,19181908.0,154692.8064516129,1310163.0,37250.0,13644.240000000002,3664.73,110.03419354838711,5.5
tsaigray2018,1,7500.0,7500.0,7500.0,7500.0,16,16.0,16,16,1,1.0,1,1,448625.0,448625.0,448625.0,448625.0,15.6,15.6,15.6,15.6
twodeerman,32,1260248.0,39382.75,283628.0,4097.0,5146,160.8125,792,32,0,0.0,0,0,19514208.0,609819.0,3430010.0,179671.0,1537.9,60.03,48.059375,10.71
tzu_888,66,401173.0,6078.378787878788,59290.0,1380.0,2514,38.09090909090909,1254,0,10,0.15151515151515152,2,0,15117481.0,229052.74242424243,1034330.0,86714.0,10321.83,361.21,156.39136363636362,23.77
uccu0323,110,348715.0,6579.528301886792,61913.0,773.0,8656,78.69090909090909,948,0,29,0.2636363636363636,2,0,63157917.0,574162.8818181818,10765317.0,95180.0,6912.82,129.27,62.84381818181818,5.33
uni_catto,139,748187.0,5382.640287769784,90421.0,262.0,2797,20.12230215827338,153,0,4,0.02877697841726619,1,0,13683228.0,98440.4892086331,1391531.0,12457.0,6492.379999999999,454.55,46.707769784172655,4.4
walkerdad1228,114,988322.0,8669.491228070176,151561.0,489.0,7573,66.4298245614035,536,1,204,1.7894736842105263,6,0,27030047.0,237105.6754385965,2303042.0,50579.0,6571.54,566.33,57.645087719298246,5.63
wanghungche,26,40379.0,1553.0384615384614,5309.0,110.0,160,6.153846153846154,36,0,0,0.0,0,0,1806213.0,69469.73076923077,321579.0,8884.0,2143.5,89.98,82.4423076923077,54.33
wecook123123,174,13307.0,76.47701149425288,405.0,12.0,32,0.1839080459770115,3,0,0,0.0,0,0,1272724.0,7314.505747126437,24213.0,2475.0,12644.779999999999,623.51,72.67114942528735,8.29
weisway18,66,458252.0,7050.030769230769,81938.0,326.0,2957,44.803030303030305,622,0,0,0.0,0,0,18545746.0,280996.1515151515,5343805.0,15221.0,5546.85,938.2,84.04318181818182,3.46
weiteng0710,48,263419.0,5487.895833333333,40917.0,598.0,3421,71.27083333333333,535,1,2,0.041666666666666664,1,0,8890997.0,185229.10416666666,1238521.0,40909.0,6408.1,687.18,133.50208333333333,12.21
wia627,111,541620.0,4879.459459459459,88307.0,3.0,4799,43.234234234234236,1198,0,40,0.36036036036036034,3,0,22162937.0,199666.0990990991,2110221.0,680.0,7717.060000000001,666.99,69.52306306306308,5.41
wufeili,40,230670.0,6234.324324324324,34273.0,1313.0,6238,155.95,416,39,2,0.05,1,0,15252823.0,381320.575,1444499.0,74315.0,1668.4,128.7,41.71,5.94
xiucao.han,18,49105.0,3069.0625,24841.0,272.0,415,23.055555555555557,88,0,1,0.05555555555555555,1,0,3004294.0,166905.22222222222,805060.0,38422.0,635.4800000000001,74.21,35.30444444444445,5.02
xollox121,14,0.0,,,,352,25.142857142857142,47,9,17,1.2142857142857142,3,0,322625.0,23044.64285714286,34187.0,11107.0,736.75,86.7,52.625,18.74
yga0721,344,4868890.0,14153.75,132239.0,1467.0,36072,104.86046511627907,2368,0,365,1.061046511627907,7,0,230100943.0,668898.0901162791,5538246.0,81102.0,35804.75,7609.37,104.08357558139535,6.27
yu.young_fate,78,30769.0,394.47435897435895,1211.0,76.0,348,4.461538461538462,41,0,0,0.0,0,0,2097355.0,26889.166666666668,51405.0,6156.0,17583.190000000002,390.68,225.42551282051286,6.24
yuniko0720,25,74166.0,2966.64,7459.0,1514.0,791,31.64,131,9,4,0.16,1,0,2094142.0,83765.68,185115.0,44361.0,1096.2,151.9,43.848,5.18
zoebitalk,198,1355000.0,6843.434343434344,138678.0,321.0,33180,167.57575757575756,5741,1,36,0.18181818181818182,2,0,76768413.0,387719.25757575757,10815820.0,50882.0,14285.8,125.47,72.15050505050505,13.79
zxsdexz,179,1082789.0,6049.100558659218,53182.0,9.0,15133,84.54189944134079,543,0,82,0.4581005586592179,3,0,40440146.0,225922.6033519553,1871762.0,690.0,7655.910000000001,239.84,42.77044692737431,6.73
