Original_Rank,Person_Name,In_Degree (被追蹤數),Out_Degree (主動追蹤數),Mutual_Follow (互粉數),Network_Influence_Score,Betweenness_Centrality,ig_url,distinct_following
57,白癡公主,43,25,21,43.43,0.024021,https://www.instagram.com/87acup/,501
58,健人蓋仇,9,17,9,9.09,0.002414,https://www.instagram.com/gu_yuze/,820
59,Patrick-派翠克,25,14,14,25.25,0.017433,https://www.instagram.com/patrickliu0721/,563
60,莊酷炫,46,70,45,46.46,0.089863,https://www.instagram.com/kevin0204660/,4230
61,Six-Wang,19,21,18,19.19,0.00907,https://www.instagram.com/6tan/,445
62,蘿潔塔的廚房,0,0,0,0.0,0.0,https://www.instagram.com/rosalina.kitchen/,36
63,孫生,29,28,20,29.29,0.016642,https://www.instagram.com/soon6669/,1104
64,超認真少年-I'm-Serious,18,25,16,18.18,0.008737,https://www.instagram.com/imseriou/,744
65,辣媽Shania,2,3,0,2.02,5.8e-05,https://www.instagram.com/lamashania/,412
66,Lilyflute長笛姐姐,1,2,1,1.01,0.0,https://www.instagram.com/lilyflute/,433
67,Bonjour-Louis!-我是路易,10,11,7,10.1,0.001058,https://www.instagram.com/bonjour.louis/,385
68,李恩菲x菲菲,11,12,7,11.11,0.007801,https://www.instagram.com/aviva_1028/,974
69,羚小鹿,10,8,7,10.1,0.000997,https://www.instagram.com/daiying0/,625
70,虎麗笑嗨嗨,2,2,2,2.02,0.0,https://www.instagram.com/hooleefun/,76
71,林淑芬2.0,2,16,2,2.02,0.000533,https://www.instagram.com/0_shufen/,542
72,紫玥桃,0,2,0,0.0,0.0,https://www.instagram.com/skauramomo/,1689
73,黃山料,3,0,0,3.03,0.0,https://www.instagram.com/iam_3636/,1
74,木曜4超玩,16,12,6,16.16,0.000792,https://www.instagram.com/muyao4/,70
75,妮妮-Nini,22,35,15,22.22,0.055387,https://www.instagram.com/nini_food0822/,2823
76,魚乾,36,40,31,36.36,0.029991,https://www.instagram.com/annie72127/,496
77,見習網美小吳,34,34,29,34.34,0.016257,https://www.instagram.com/beauty___wu/,769
78,艾爾文,3,1,0,3.03,0.0,https://www.instagram.com/alvin701/,141
79,志祺七七,26,16,13,26.26,0.004808,https://www.instagram.com/shasha77.daily/,537
80,欸你這週要幹嘛,22,30,20,22.22,0.009713,https://www.instagram.com/arielsvlog_816/,472
81,PEETA葛格,24,28,24,24.24,0.007009,https://www.instagram.com/peeta.gege/,1820
82,咪妃Julia,26,21,21,26.26,0.022079,https://www.instagram.com/juliamisakii/,572
83,呱吉,31,21,20,31.31,0.009695,https://www.instagram.com/froggychiu/,719
84,莊政威-Cliff-Chuang,3,2,2,3.03,4e-06,https://www.instagram.com/cliffchuang3/,198
85,漢娜在翻譯,1,0,0,1.01,0.0,https://www.instagram.com/hannainjp/,242
86,Ru's-Piano-Ru味春捲,10,22,10,10.1,0.019633,https://www.instagram.com/ruruspiano/,693
87,P.LEAGUE,3,0,0,3.03,0.0,https://www.instagram.com/p.league.official/,16
88,HahaTai-哈哈台,14,29,12,14.14,0.006395,https://www.instagram.com/hahatai_official/,1092
89,A力地方媽媽,0,0,0,0.0,0.0,https://www.instagram.com/local_mom_ellie/,18
90,Ines-Wang,3,3,2,3.03,0.00044,https://www.instagram.com/inesinesw/,810
91,豪吃來吃,3,3,3,3.03,0.000173,https://www.instagram.com/howeat219/,219
92,依梨,2,3,2,2.02,0.0,https://www.instagram.com/lebaby0v0/,195
93,周小葳,3,14,1,3.03,0.001924,https://www.instagram.com/mayukichou/,1746
94,Irene-林艾融,10,14,9,10.1,0.004884,https://www.instagram.com/irenelin0413/,1279
95,BBpPro-Lin-Ching-Chieh-林敬傑,11,4,4,11.11,0.000229,https://www.instagram.com/ackj0301_ifbbpro/,328
96,Emma艾瑪,9,11,8,9.09,0.006673,https://www.instagram.com/xollox121/,943
97,電瀨少女-女孩的科技日常,8,11,6,8.08,0.000294,https://www.instagram.com/aottergirls/,87
98,喬喬兒Sylvia,5,5,4,5.05,0.000254,https://www.instagram.com/qqe_52772/,927
99,柴犬Nana和阿楞的一天,6,0,0,6.06,0.0,https://www.instagram.com/nana_aleng/,0
100,瑀熙-Yuci,22,22,15,22.22,0.018064,https://www.instagram.com/uccu0323/,612
